DATE,TAVG,TMAX,TMIN,PRCP,CITY
2024-01,2.4,5.2,-0.5,106.4,Zürich
2024-02,7.1,9.9,4.2,63.7,Zürich
2024-03,8.4,12.7,4.1,120.0,Zürich
2024-04,10.2,14.9,5.6,74.1,Zürich
2024-05,14.2,18.6,9.8,191.1,Zürich
2024-06,17.9,22.1,13.6,125.5,Zürich
2024-07,20.7,25.7,15.8,105.7,Zürich
2024-08,21.4,26.5,16.4,61.0,Zürich
2024-09,14.8,18.7,10.9,156.2,Zürich
2024-10,11.9,14.6,9.1,109.9,Zürich
2024-11,5.5,8.0,3.0,81.6,Zürich
2024-12,1.8,3.7,-0.1,81.0,Zürich
2024-01,-7.7,-4.7,-10.7,59.3,Helsinki
2024-02,-2.8,-0.7,-4.9,80.4,Helsinki
2024-03,1.0,3.5,-1.5,32.3,Helsinki
2024-04,4.3,7.6,0.9,95.8,Helsinki
2024-05,14.3,19.7,8.9,3.0,Helsinki
2024-06,17.7,22.5,13.0,26.4,Helsinki
2024-07,19.7,23.6,15.9,55.9,Helsinki
2024-08,18.7,22.8,14.6,70.0,Helsinki
2024-09,15.5,19.2,11.8,100.0,Helsinki
2024-10,8.6,11.4,5.7,75.8,Helsinki
2024-11,3.5,5.6,1.3,94.1,Helsinki
2024-12,0.4,2.9,-2.0,93.7,Helsinki
2024-01,26.6989247311828,29.91397849462366,24.16308243727599,7.1254838709677415,Singapur
2024-02,28.03831417624521,32.01149425287357,25.444444444444443,13.873793103448275,Singapur
2024-03,28.615226337448558,32.60699588477366,25.419753086419757,7.639999999999999,Singapur
2024-04,29.331481481481482,,26.172222222222224,13.601333333333333,Singapur
2024-05,28.938888888888883,31.91111111111111,25.796296296296298,10.249333333333333,Singapur
2024-06,28.56666666666667,31.522222222222222,25.214814814814815,13.609999999999998,Singapur
2024-07,29.256272401433687,32.09318996415771,26.648745519713263,9.767741935483869,Singapur
2024-08,28.63518518518519,31.535185185185185,25.505555555555564,13.444999999999999,Singapur
2024-09,28.664814814814818,31.853703703703697,25.227777777777785,13.491666666666667,Singapur
2024-10,28.387096774193548,31.659498207885306,25.188172043010756,9.85741935483871,Singapur
2024-11,27.33333333333333,31.24358974358974,24.51923076923077,12.116538461538461,Singapur
2024-12,27.52592592592593,31.320370370370377,24.855555555555554,6.9656666666666665,Singapur
